Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1785167166,200,,Aggregated,57.900000,0.000000,15,20,28,35,72,110,210,670,8200,8700,8800,40312,8,15,94.32046153879112,3.0495929531753063,8788.369113113731,1502.8444879936496
1785167167,200,,Aggregated,56.500000,0.100000,15,20,28,35,72,110,210,670,8200,8700,8800,40369,8,15,94.22018763014664,3.0495929531753063,8788.369113113731,1502.6020956674677
1785167169,200,,Aggregated,56.500000,0.100000,15,20,28,35,72,110,210,670,8200,8700,8800,40447,8,15,94.07639849543962,3.0495929531753063,8788.369113113731,1503.5008776917941
1785167170,200,,Aggregated,57.200000,0.100000,15,20,28,35,73,110,210,670,8200,8700,8800,40547,8,15,94.01036747158997,3.0495929531753063,8788.369113113731,1504.3024144819592
1785167171,200,,Aggregated,57.500000,0.100000,15,20,28,35,73,110,210,670,8200,8700,8800,40597,8,15,93.91109586963152,3.0495929531753063,8788.369113113731,1504.5898711727468
1785167172,200,,Aggregated,58.100000,0.100000,15,20,28,35,72,110,210,670,8200,8700,8800,40655,8,15,93.80177199736772,3.0495929531753063,8788.369113113731,1504.5182388390112
1785167173,200,,Aggregated,58.200000,0.100000,15,20,28,35,72,110,210,670,8200,8700,8800,40706,8,15,93.70647480922791,3.0495929531753063,8788.369113113731,1503.4196678622316
1785167174,200,,Aggregated,58.200000,0.100000,15,20,28,35,72,110,210,670,8200,8700,8800,40738,8,15,93.64470219786732,3.0495929531753063,8788.369113113731,1503.175708184005
1785167175,200,,Aggregated,57.800000,0.100000,15,20,28,35,72,110,210,670,8200,8700,8800,40817,8,15,93.95587099480824,3.0495929531753063,8788.369113113731,1503.3232721660092
1785167176,200,,Aggregated,57.800000,0.100000,15,20,28,35,72,110,210,670,8200,8700,8800,40893,8,15,94.19915415532691,3.0495929531753063,8788.369113113731,1502.6680605482602
